�	NULL (U+0000)	00
⏎	RETURN SYMBOL (U+23CE)	e28f8e
⏏	EJECT SYMBOL (U+23CF)	e28f8f
⏐	VERTICAL LINE EXTENSION (U+23D0)	e28f90
⏑	METRICAL BREVE (U+23D1)	e28f91
⏒	METRICAL LONG OVER SHORT (U+23D2)	e28f92
⏓	METRICAL SHORT OVER LONG (U+23D3)	e28f93
⏔	METRICAL LONG OVER TWO SHORTS (U+23D4)	e28f94
⏕	METRICAL TWO SHORTS OVER LONG (U+23D5)	e28f95
⏖	METRICAL TWO SHORTS JOINED (U+23D6)	e28f96
⏗	METRICAL TRISEME (U+23D7)	e28f97
⏘	METRICAL TETRASEME (U+23D8)	e28f98
⏙	METRICAL PENTASEME (U+23D9)	e28f99
⏚	EARTH GROUND (U+23DA)	e28f9a
⏛	FUSE (U+23DB)	e28f9b
⏜	TOP PARENTHESIS (U+23DC)	e28f9c
⏝	BOTTOM PARENTHESIS (U+23DD)	e28f9d
⏞	TOP CURLY BRACKET (U+23DE)	e28f9e
⏟	BOTTOM CURLY BRACKET (U+23DF)	e28f9f
⏠	TOP TORTOISE SHELL BRACKET (U+23E0)	e28fa0
⏡	BOTTOM TORTOISE SHELL BRACKET (U+23E1)	e28fa1
⏢	WHITE TRAPEZIUM (U+23E2)	e28fa2
⏣	BENZENE RING WITH CIRCLE (U+23E3)	e28fa3
⏤	STRAIGHTNESS (U+23E4)	e28fa4
⏥	FLATNESS (U+23E5)	e28fa5
⏦	AC CURRENT (U+23E6)	e28fa6
⏧	ELECTRICAL INTERSECTION (U+23E7)	e28fa7
⏨	DECIMAL EXPONENT SYMBOL (U+23E8)	e28fa8
⏩	BLACK RIGHT-POINTING DOUBLE TRIANGLE (U+23E9)	e28fa9
⏪	BLACK LEFT-POINTING DOUBLE TRIANGLE (U+23EA)	e28faa
⏫	BLACK UP-POINTING DOUBLE TRIANGLE (U+23EB)	e28fab
⏬	BLACK DOWN-POINTING DOUBLE TRIANGLE (U+23EC)	e28fac
⏭	BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR (U+23ED)	e28fad
⏮	BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR (U+23EE)	e28fae
⏯	BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR (U+23EF)	e28faf
⏰	ALARM CLOCK (U+23F0)	e28fb0
⏱	STOPWATCH (U+23F1)	e28fb1
⏲	TIMER CLOCK (U+23F2)	e28fb2
⏳	HOURGLASS WITH FLOWING SAND (U+23F3)	e28fb3
⏴	BLACK MEDIUM LEFT-POINTING TRIANGLE (U+23F4)	e28fb4
⏵	BLACK MEDIUM RIGHT-POINTING TRIANGLE (U+23F5)	e28fb5
⏶	BLACK MEDIUM UP-POINTING TRIANGLE (U+23F6)	e28fb6
⏷	BLACK MEDIUM DOWN-POINTING TRIANGLE (U+23F7)	e28fb7
⏸	DOUBLE VERTICAL BAR (U+23F8)	e28fb8
⏹	BLACK SQUARE FOR STOP (U+23F9)	e28fb9
⏺	BLACK CIRCLE FOR RECORD (U+23FA)	e28fba
⏻	POWER SYMBOL (U+23FB)	e28fbb
⏼	POWER ON-OFF SYMBOL (U+23FC)	e28fbc
⏽	POWER ON SYMBOL (U+23FD)	e28fbd
⏾	POWER SLEEP SYMBOL (U+23FE)	e28fbe
⏿	OBSERVER EYE SYMBOL (U+23FF)	e28fbf
␀	SYMBOL FOR NULL (U+2400)	e29080
␁	SYMBOL FOR START OF HEADING (U+2401)	e29081
␂	SYMBOL FOR START OF TEXT (U+2402)	e29082
␃	SYMBOL FOR END OF TEXT (U+2403)	e29083
␄	SYMBOL FOR END OF TRANSMISSION (U+2404)	e29084
␅	SYMBOL FOR ENQUIRY (U+2405)	e29085
␆	SYMBOL FOR ACKNOWLEDGE (U+2406)	e29086
␇	SYMBOL FOR BELL (U+2407)	e29087
␈	SYMBOL FOR BACKSPACE (U+2408)	e29088
␉	SYMBOL FOR HORIZONTAL TABULATION (U+2409)	e29089
␊	SYMBOL FOR LINE FEED (U+240A)	e2908a
␋	SYMBOL FOR VERTICAL TABULATION (U+240B)	e2908b
␌	SYMBOL FOR FORM FEED (U+240C)	e2908c
␍	SYMBOL FOR CARRIAGE RETURN (U+240D)	e2908d
␎	SYMBOL FOR SHIFT OUT (U+240E)	e2908e
␏	SYMBOL FOR SHIFT IN (U+240F)	e2908f
␐	SYMBOL FOR DATA LINK ESCAPE (U+2410)	e29090
␑	SYMBOL FOR DEVICE CONTROL ONE (U+2411)	e29091
␒	SYMBOL FOR DEVICE CONTROL TWO (U+2412)	e29092
␓	SYMBOL FOR DEVICE CONTROL THREE (U+2413)	e29093
␔	SYMBOL FOR DEVICE CONTROL FOUR (U+2414)	e29094
␕	SYMBOL FOR NEGATIVE ACKNOWLEDGE (U+2415)	e29095
␖	SYMBOL FOR SYNCHRONOUS IDLE (U+2416)	e29096
␗	SYMBOL FOR END OF TRANSMISSION BLOCK (U+2417)	e29097
␘	SYMBOL FOR CANCEL (U+2418)	e29098
␙	SYMBOL FOR END OF MEDIUM (U+2419)	e29099
␚	SYMBOL FOR SUBSTITUTE (U+241A)	e2909a
␛	SYMBOL FOR ESCAPE (U+241B)	e2909b
␜	SYMBOL FOR FILE SEPARATOR (U+241C)	e2909c
␝	SYMBOL FOR GROUP SEPARATOR (U+241D)	e2909d
␞	SYMBOL FOR RECORD SEPARATOR (U+241E)	e2909e
␟	SYMBOL FOR UNIT SEPARATOR (U+241F)	e2909f
␠	SYMBOL FOR SPACE (U+2420)	e290a0
␡	SYMBOL FOR DELETE (U+2421)	e290a1
␢	BLANK SYMBOL (U+2422)	e290a2
␣	OPEN BOX (U+2423)	e290a3
␤	SYMBOL FOR NEWLINE (U+2424)	e290a4
␥	SYMBOL FOR DELETE FORM TWO (U+2425)	e290a5
␦	SYMBOL FOR SUBSTITUTE FORM TWO (U+2426)	e290a6
⑀	OCR HOOK (U+2440)	e29180
⑁	OCR CHAIR (U+2441)	e29181
⑂	OCR FORK (U+2442)	e29182
⑃	OCR INVERTED FORK (U+2443)	e29183
⑄	OCR BELT BUCKLE (U+2444)	e29184
⑅	OCR BOW TIE (U+2445)	e29185
⑆	OCR BRANCH BANK IDENTIFICATION (U+2446)	e29186
⑇	OCR AMOUNT OF CHECK (U+2447)	e29187
⑈	OCR DASH (U+2448)	e29188
⑉	OCR CUSTOMER ACCOUNT NUMBER (U+2449)	e29189
⑊	OCR DOUBLE BACKSLASH (U+244A)	e2918a
①	CIRCLED DIGIT ONE (U+2460)	e291a0
②	CIRCLED DIGIT TWO (U+2461)	e291a1
③	CIRCLED DIGIT THREE (U+2462)	e291a2
④	CIRCLED DIGIT FOUR (U+2463)	e291a3
⑤	CIRCLED DIGIT FIVE (U+2464)	e291a4
⑥	CIRCLED DIGIT SIX (U+2465)	e291a5
⑦	CIRCLED DIGIT SEVEN (U+2466)	e291a6
⑧	CIRCLED DIGIT EIGHT (U+2467)	e291a7
⑨	CIRCLED DIGIT NINE (U+2468)	e291a8
⑩	CIRCLED NUMBER TEN (U+2469)	e291a9
⑪	CIRCLED NUMBER ELEVEN (U+246A)	e291aa
⑫	CIRCLED NUMBER TWELVE (U+246B)	e291ab
⑬	CIRCLED NUMBER THIRTEEN (U+246C)	e291ac
⑭	CIRCLED NUMBER FOURTEEN (U+246D)	e291ad
⑮	CIRCLED NUMBER FIFTEEN (U+246E)	e291ae
⑯	CIRCLED NUMBER SIXTEEN (U+246F)	e291af
⑰	CIRCLED NUMBER SEVENTEEN (U+2470)	e291b0
⑱	CIRCLED NUMBER EIGHTEEN (U+2471)	e291b1
⑲	CIRCLED NUMBER NINETEEN (U+2472)	e291b2
⑳	CIRCLED NUMBER TWENTY (U+2473)	e291b3
⑴	PARENTHESIZED DIGIT ONE (U+2474)	e291b4
⑵	PARENTHESIZED DIGIT TWO (U+2475)	e291b5
⑶	PARENTHESIZED DIGIT THREE (U+2476)	e291b6
⑷	PARENTHESIZED DIGIT FOUR (U+2477)	e291b7
⑸	PARENTHESIZED DIGIT FIVE (U+2478)	e291b8
⑹	PARENTHESIZED DIGIT SIX (U+2479)	e291b9
⑺	PARENTHESIZED DIGIT SEVEN (U+247A)	e291ba
⑻	PARENTHESIZED DIGIT EIGHT (U+247B)	e291bb
⑼	PARENTHESIZED DIGIT NINE (U+247C)	e291bc
⑽	PARENTHESIZED NUMBER TEN (U+247D)	e291bd
⑾	PARENTHESIZED NUMBER ELEVEN (U+247E)	e291be
⑿	PARENTHESIZED NUMBER TWELVE (U+247F)	e291bf
⒀	PARENTHESIZED NUMBER THIRTEEN (U+2480)	e29280
⒁	PARENTHESIZED NUMBER FOURTEEN (U+2481)	e29281
⒂	PARENTHESIZED NUMBER FIFTEEN (U+2482)	e29282
⒃	PARENTHESIZED NUMBER SIXTEEN (U+2483)	e29283
⒄	PARENTHESIZED NUMBER SEVENTEEN (U+2484)	e29284
⒅	PARENTHESIZED NUMBER EIGHTEEN (U+2485)	e29285
⒆	PARENTHESIZED NUMBER NINETEEN (U+2486)	e29286
⒇	PARENTHESIZED NUMBER TWENTY (U+2487)	e29287
⒈	DIGIT ONE FULL STOP (U+2488)	e29288
⒉	DIGIT TWO FULL STOP (U+2489)	e29289
⒊	DIGIT THREE FULL STOP (U+248A)	e2928a
⒋	DIGIT FOUR FULL STOP (U+248B)	e2928b
⒌	DIGIT FIVE FULL STOP (U+248C)	e2928c
⒍	DIGIT SIX FULL STOP (U+248D)	e2928d
⒎	DIGIT SEVEN FULL STOP (U+248E)	e2928e
⒏	DIGIT EIGHT FULL STOP (U+248F)	e2928f
⒐	DIGIT NINE FULL STOP (U+2490)	e29290
⒑	NUMBER TEN FULL STOP (U+2491)	e29291
⒒	NUMBER ELEVEN FULL STOP (U+2492)	e29292
⒓	NUMBER TWELVE FULL STOP (U+2493)	e29293
⒔	NUMBER THIRTEEN FULL STOP (U+2494)	e29294
⒕	NUMBER FOURTEEN FULL STOP (U+2495)	e29295
⒖	NUMBER FIFTEEN FULL STOP (U+2496)	e29296
⒗	NUMBER SIXTEEN FULL STOP (U+2497)	e29297
⒘	NUMBER SEVENTEEN FULL STOP (U+2498)	e29298
⒙	NUMBER EIGHTEEN FULL STOP (U+2499)	e29299
⒚	NUMBER NINETEEN FULL STOP (U+249A)	e2929a
⒛	NUMBER TWENTY FULL STOP (U+249B)	e2929b
⒜	PARENTHESIZED LATIN SMALL LETTER A (U+249C)	e2929c
⒝	PARENTHESIZED LATIN SMALL LETTER B (U+249D)	e2929d
⒞	PARENTHESIZED LATIN SMALL LETTER C (U+249E)	e2929e
⒟	PARENTHESIZED LATIN SMALL LETTER D (U+249F)	e2929f
⒠	PARENTHESIZED LATIN SMALL LETTER E (U+24A0)	e292a0
⒡	PARENTHESIZED LATIN SMALL LETTER F (U+24A1)	e292a1
⒢	PARENTHESIZED LATIN SMALL LETTER G (U+24A2)	e292a2
⒣	PARENTHESIZED LATIN SMALL LETTER H (U+24A3)	e292a3
⒤	PARENTHESIZED LATIN SMALL LETTER I (U+24A4)	e292a4
⒥	PARENTHESIZED LATIN SMALL LETTER J (U+24A5)	e292a5
⒦	PARENTHESIZED LATIN SMALL LETTER K (U+24A6)	e292a6
⒧	PARENTHESIZED LATIN SMALL LETTER L (U+24A7)	e292a7
⒨	PARENTHESIZED LATIN SMALL LETTER M (U+24A8)	e292a8
⒩	PARENTHESIZED LATIN SMALL LETTER N (U+24A9)	e292a9
⒪	PARENTHESIZED LATIN SMALL LETTER O (U+24AA)	e292aa
⒫	PARENTHESIZED LATIN SMALL LETTER P (U+24AB)	e292ab
⒬	PARENTHESIZED LATIN SMALL LETTER Q (U+24AC)	e292ac
⒭	PARENTHESIZED LATIN SMALL LETTER R (U+24AD)	e292ad
⒮	PARENTHESIZED LATIN SMALL LETTER S (U+24AE)	e292ae
⒯	PARENTHESIZED LATIN SMALL LETTER T (U+24AF)	e292af
⒰	PARENTHESIZED LATIN SMALL LETTER U (U+24B0)	e292b0
⒱	PARENTHESIZED LATIN SMALL LETTER V (U+24B1)	e292b1
⒲	PARENTHESIZED LATIN SMALL LETTER W (U+24B2)	e292b2
⒳	PARENTHESIZED LATIN SMALL LETTER X (U+24B3)	e292b3
⒴	PARENTHESIZED LATIN SMALL LETTER Y (U+24B4)	e292b4
⒵	PARENTHESIZED LATIN SMALL LETTER Z (U+24B5)	e292b5
Ⓐ	CIRCLED LATIN CAPITAL LETTER A (U+24B6)	e292b6
Ⓑ	CIRCLED LATIN CAPITAL LETTER B (U+24B7)	e292b7
Ⓒ	CIRCLED LATIN CAPITAL LETTER C (U+24B8)	e292b8
Ⓓ	CIRCLED LATIN CAPITAL LETTER D (U+24B9)	e292b9
Ⓔ	CIRCLED LATIN CAPITAL LETTER E (U+24BA)	e292ba
Ⓕ	CIRCLED LATIN CAPITAL LETTER F (U+24BB)	e292bb
Ⓖ	CIRCLED LATIN CAPITAL LETTER G (U+24BC)	e292bc
Ⓗ	CIRCLED LATIN CAPITAL LETTER H (U+24BD)	e292bd
Ⓘ	CIRCLED LATIN CAPITAL LETTER I (U+24BE)	e292be
Ⓙ	CIRCLED LATIN CAPITAL LETTER J (U+24BF)	e292bf
Ⓚ	CIRCLED LATIN CAPITAL LETTER K (U+24C0)	e29380
Ⓛ	CIRCLED LATIN CAPITAL LETTER L (U+24C1)	e29381
Ⓜ	CIRCLED LATIN CAPITAL LETTER M (U+24C2)	e29382
Ⓝ	CIRCLED LATIN CAPITAL LETTER N (U+24C3)	e29383
Ⓞ	CIRCLED LATIN CAPITAL LETTER O (U+24C4)	e29384
Ⓟ	CIRCLED LATIN CAPITAL LETTER P (U+24C5)	e29385
Ⓠ	CIRCLED LATIN CAPITAL LETTER Q (U+24C6)	e29386
Ⓡ	CIRCLED LATIN CAPITAL LETTER R (U+24C7)	e29387
Ⓢ	CIRCLED LATIN CAPITAL LETTER S (U+24C8)	e29388
Ⓣ	CIRCLED LATIN CAPITAL LETTER T (U+24C9)	e29389
Ⓤ	CIRCLED LATIN CAPITAL LETTER U (U+24CA)	e2938a
Ⓥ	CIRCLED LATIN CAPITAL LETTER V (U+24CB)	e2938b
Ⓦ	CIRCLED LATIN CAPITAL LETTER W (U+24CC)	e2938c
Ⓧ	CIRCLED LATIN CAPITAL LETTER X (U+24CD)	e2938d
Ⓨ	CIRCLED LATIN CAPITAL LETTER Y (U+24CE)	e2938e
Ⓩ	CIRCLED LATIN CAPITAL LETTER Z (U+24CF)	e2938f
ⓐ	CIRCLED LATIN SMALL LETTER A (U+24D0)	e29390
ⓑ	CIRCLED LATIN SMALL LETTER B (U+24D1)	e29391
ⓒ	CIRCLED LATIN SMALL LETTER C (U+24D2)	e29392
ⓓ	CIRCLED LATIN SMALL LETTER D (U+24D3)	e29393
ⓔ	CIRCLED LATIN SMALL LETTER E (U+24D4)	e29394
ⓕ	CIRCLED LATIN SMALL LETTER F (U+24D5)	e29395
ⓖ	CIRCLED LATIN SMALL LETTER G (U+24D6)	e29396
ⓗ	CIRCLED LATIN SMALL LETTER H (U+24D7)	e29397
ⓘ	CIRCLED LATIN SMALL LETTER I (U+24D8)	e29398
ⓙ	CIRCLED LATIN SMALL LETTER J (U+24D9)	e29399
ⓚ	CIRCLED LATIN SMALL LETTER K (U+24DA)	e2939a
ⓛ	CIRCLED LATIN SMALL LETTER L (U+24DB)	e2939b
ⓜ	CIRCLED LATIN SMALL LETTER M (U+24DC)	e2939c
ⓝ	CIRCLED LATIN SMALL LETTER N (U+24DD)	e2939d
ⓞ	CIRCLED LATIN SMALL LETTER O (U+24DE)	e2939e
ⓟ	CIRCLED LATIN SMALL LETTER P (U+24DF)	e2939f
ⓠ	CIRCLED LATIN SMALL LETTER Q (U+24E0)	e293a0
ⓡ	CIRCLED LATIN SMALL LETTER R (U+24E1)	e293a1
ⓢ	CIRCLED LATIN SMALL LETTER S (U+24E2)	e293a2
ⓣ	CIRCLED LATIN SMALL LETTER T (U+24E3)	e293a3
ⓤ	CIRCLED LATIN SMALL LETTER U (U+24E4)	e293a4
ⓥ	CIRCLED LATIN SMALL LETTER V (U+24E5)	e293a5
ⓦ	CIRCLED LATIN SMALL LETTER W (U+24E6)	e293a6
ⓧ	CIRCLED LATIN SMALL LETTER X (U+24E7)	e293a7
ⓨ	CIRCLED LATIN SMALL LETTER Y (U+24E8)	e293a8
ⓩ	CIRCLED LATIN SMALL LETTER Z (U+24E9)	e293a9
⓪	CIRCLED DIGIT ZERO (U+24EA)	e293aa
⓫	NEGATIVE CIRCLED NUMBER ELEVEN (U+24EB)	e293ab
⓬	NEGATIVE CIRCLED NUMBER TWELVE (U+24EC)	e293ac
⓭	NEGATIVE CIRCLED NUMBER THIRTEEN (U+24ED)	e293ad
⓮	NEGATIVE CIRCLED NUMBER FOURTEEN (U+24EE)	e293ae
⓯	NEGATIVE CIRCLED NUMBER FIFTEEN (U+24EF)	e293af
⓰	NEGATIVE CIRCLED NUMBER SIXTEEN (U+24F0)	e293b0
⓱	NEGATIVE CIRCLED NUMBER SEVENTEEN (U+24F1)	e293b1
⓲	NEGATIVE CIRCLED NUMBER EIGHTEEN (U+24F2)	e293b2
⓳	NEGATIVE CIRCLED NUMBER NINETEEN (U+24F3)	e293b3
⓴	NEGATIVE CIRCLED NUMBER TWENTY (U+24F4)	e293b4
⓵	DOUBLE CIRCLED DIGIT ONE (U+24F5)	e293b5
⓶	DOUBLE CIRCLED DIGIT TWO (U+24F6)	e293b6
⓷	DOUBLE CIRCLED DIGIT THREE (U+24F7)	e293b7
⓸	DOUBLE CIRCLED DIGIT FOUR (U+24F8)	e293b8
⓹	DOUBLE CIRCLED DIGIT FIVE (U+24F9)	e293b9
⓺	DOUBLE CIRCLED DIGIT SIX (U+24FA)	e293ba
⓻	DOUBLE CIRCLED DIGIT SEVEN (U+24FB)	e293bb
⓼	DOUBLE CIRCLED DIGIT EIGHT (U+24FC)	e293bc
⓽	DOUBLE CIRCLED DIGIT NINE (U+24FD)	e293bd
⓾	DOUBLE CIRCLED NUMBER TEN (U+24FE)	e293be
⓿	NEGATIVE CIRCLED DIGIT ZERO (U+24FF)	e293bf
─	BOX DRAWINGS LIGHT HORIZONTAL (U+2500)	e29480
━	BOX DRAWINGS HEAVY HORIZONTAL (U+2501)	e29481
│	BOX DRAWINGS LIGHT VERTICAL (U+2502)	e29482
┃	BOX DRAWINGS HEAVY VERTICAL (U+2503)	e29483
┄	BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL (U+2504)	e29484
┅	BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL (U+2505)	e29485
┆	BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL (U+2506)	e29486
┇	BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL (U+2507)	e29487
┈	BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL (U+2508)	e29488
┉	BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL (U+2509)	e29489
┊	BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL (U+250A)	e2948a
┋	BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL (U+250B)	e2948b
┌	BOX DRAWINGS LIGHT DOWN AND RIGHT (U+250C)	e2948c
┍	BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY (U+250D)	e2948d
┎	BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT (U+250E)	e2948e
┏	BOX DRAWINGS HEAVY DOWN AND RIGHT (U+250F)	e2948f
┐	BOX DRAWINGS LIGHT DOWN AND LEFT (U+2510)	e29490
┑	BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY (U+2511)	e29491
┒	BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT (U+2512)	e29492
┓	BOX DRAWINGS HEAVY DOWN AND LEFT (U+2513)	e29493
└	BOX DRAWINGS LIGHT UP AND RIGHT (U+2514)	e29494
┕	BOX DRAWINGS UP LIGHT AND RIGHT HEAVY (U+2515)	e29495
┖	BOX DRAWINGS UP HEAVY AND RIGHT LIGHT (U+2516)	e29496
┗	BOX DRAWINGS HEAVY UP AND RIGHT (U+2517)	e29497
┘	BOX DRAWINGS LIGHT UP AND LEFT (U+2518)	e29498
┙	BOX DRAWINGS UP LIGHT AND LEFT HEAVY (U+2519)	e29499
┚	BOX DRAWINGS UP HEAVY AND LEFT LIGHT (U+251A)	e2949a
┛	BOX DRAWINGS HEAVY UP AND LEFT (U+251B)	e2949b
├	BOX DRAWINGS LIGHT VERTICAL AND RIGHT (U+251C)	e2949c
┝	BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY (U+251D)	e2949d
┞	BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT (U+251E)	e2949e
┟	BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT (U+251F)	e2949f
┠	BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT (U+2520)	e294a0
┡	BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY (U+2521)	e294a1
┢	BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY (U+2522)	e294a2
┣	BOX DRAWINGS HEAVY VERTICAL AND RIGHT (U+2523)	e294a3
┤	BOX DRAWINGS LIGHT VERTICAL AND LEFT (U+2524)	e294a4
┥	BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY (U+2525)	e294a5
┦	BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT (U+2526)	e294a6
┧	BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT (U+2527)	e294a7
┨	BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT (U+2528)	e294a8
┩	BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY (U+2529)	e294a9
┪	BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY (U+252A)	e294aa
┫	BOX DRAWINGS HEAVY VERTICAL AND LEFT (U+252B)	e294ab
┬	BOX DRAWINGS LIGHT DOWN AND HORIZONTAL (U+252C)	e294ac
┭	BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT (U+252D)	e294ad
┮	BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT (U+252E)	e294ae
┯	BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY (U+252F)	e294af
┰	BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT (U+2530)	e294b0
┱	BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY (U+2531)	e294b1
┲	BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY (U+2532)	e294b2
┳	BOX DRAWINGS HEAVY DOWN AND HORIZONTAL (U+2533)	e294b3
┴	BOX DRAWINGS LIGHT UP AND HORIZONTAL (U+2534)	e294b4
┵	BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT (U+2535)	e294b5
┶	BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT (U+2536)	e294b6
┷	BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY (U+2537)	e294b7
┸	BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT (U+2538)	e294b8
┹	BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY (U+2539)	e294b9
┺	BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY (U+253A)	e294ba
┻	BOX DRAWINGS HEAVY UP AND HORIZONTAL (U+253B)	e294bb
┼	BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL (U+253C)	e294bc
┽	BOX DRAWINGS LEFT HEAVY AND RIGHT VERTICAL LIGHT (U+253D)	e294bd
┾	BOX DRAWINGS RIGHT HEAVY AND LEFT VERTICAL LIGHT (U+253E)	e294be
┿	BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY (U+253F)	e294bf
╀	BOX DRAWINGS UP HEAVY AND DOWN HORIZONTAL LIGHT (U+2540)	e29580
╁	BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT (U+2541)	e29581
╂	BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT (U+2542)	e29582
╃	BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT (U+2543)	e29583
╄	BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT (U+2544)	e29584
╅	BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT (U+2545)	e29585
╆	BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT (U+2546)	e29586
╇	BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY (U+2547)	e29587
╈	BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY (U+2548)	e29588
╉	BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY (U+2549)	e29589
╊	BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY (U+254A)	e2958a
╋	BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL (U+254B)	e2958b
╌	BOX DRAWINGS LIGHT DOUBLE DASH HORIZONTAL (U+254C)	e2958c
╍	BOX DRAWINGS HEAVY DOUBLE DASH HORIZONTAL (U+254D)	e2958d
╎	BOX DRAWINGS LIGHT DOUBLE DASH VERTICAL (U+254E)	e2958e
╏	BOX DRAWINGS HEAVY DOUBLE DASH VERTICAL (U+254F)	e2958f
═	BOX DRAWINGS DOUBLE HORIZONTAL (U+2550)	e29590
║	BOX DRAWINGS DOUBLE VERTICAL (U+2551)	e29591
╒	BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE (U+2552)	e29592
╓	BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE (U+2553)	e29593
╔	BOX DRAWINGS DOUBLE DOWN AND RIGHT (U+2554)	e29594
╕	BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE (U+2555)	e29595
╖	BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE (U+2556)	e29596
╗	BOX DRAWINGS DOUBLE DOWN AND LEFT (U+2557)	e29597
╘	BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE (U+2558)	e29598
╙	BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE (U+2559)	e29599
╚	BOX DRAWINGS DOUBLE UP AND RIGHT (U+255A)	e2959a
╛	BOX DRAWINGS UP SINGLE AND LEFT DOUBLE (U+255B)	e2959b
╜	BOX DRAWINGS UP DOUBLE AND LEFT SINGLE (U+255C)	e2959c
╝	BOX DRAWINGS DOUBLE UP AND LEFT (U+255D)	e2959d
╞	BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE (U+255E)	e2959e
╟	BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE (U+255F)	e2959f
╠	BOX DRAWINGS DOUBLE VERTICAL AND RIGHT (U+2560)	e295a0
╡	BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE (U+2561)	e295a1
╢	BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE (U+2562)	e295a2
╣	BOX DRAWINGS DOUBLE VERTICAL AND LEFT (U+2563)	e295a3
╤	BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE (U+2564)	e295a4
╥	BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE (U+2565)	e295a5
╦	BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL (U+2566)	e295a6
╧	BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE (U+2567)	e295a7
╨	BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE (U+2568)	e295a8
╩	BOX DRAWINGS DOUBLE UP AND HORIZONTAL (U+2569)	e295a9
